date,railroad,tariff,item,commodity,primary_class,origin_city,origin_state,origin,destination_city,destination_state,destination,route_mileage,train_type,min_number_of_cars,max_number_of_cars,car_ownership,rule_11_rate,gtr_table,maximum_load_pounds,tariff_per_car,tariff_per_bushel,tariff_per_metric_ton,tariff_per_short_ton,tariff_per_ton_mile,fsc_per_mile,fsc_per_car,tariff_fsc_per_car,tariff_fsc_per_bushel,tariff_fsc_per_metric_ton,tariff_fsc_per_short_ton,tariff_fsc_per_ton_mile,car_volume_cubic_feet
2022-02-15,BNSF,4022,43910.0,Wheat,HRS,Macon,MT,"Macon, MT",Seattle,WA,"PNW (Seattle, WA)",1038.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",5062,1.3681,50.2681,45.6036,0.0439,0.1,103.8,5165.8,1.3681,51.2989,46.5387,0.0448,
2022-02-15,BNSF,4022,45675.0,Wheat,HRS,Boyle,ND,"Taylor, ND",Grand Forks,ND,"Grand Forks, ND",364.0,Shuttle,110,120.0,Railroad/Private,0,0,"286,000",2181,0.5895,21.6584,19.6486,0.054,0.1,36.4,2217.4,0.5895,22.0199,19.9766,0.0549,
2022-02-15,BNSF,4022,45452.0,Wheat,HRS,Alton,ND,"Alton (Hillsboro), ND",Superior,WI,"Superior, WI",294.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",2515,0.6797,24.9752,22.6577,0.0771,0.1,29.4,2544.4,0.6797,25.2671,22.9225,0.078,
2022-02-15,CPKC,4444,15890.0,Wheat,HRS,Minot,ND,"Minot, ND",Kalama,WA,"Kalama, WA",1406.0,Unit,100,,Railroad/Private,0,1,"286,000",5299,1.4322,52.6216,47.7387,0.034,0.3025,425.315,5724.315,1.4322,56.8452,51.5704,0.0367,
2022-02-15,CPKC,4444,17500.0,Wheat,HRS,Nekoma,ND,"Nekoma, ND",Chicago,IL,"Chicago, IL",845.0,Manifest,25,25.0,Railroad/Private,1,1,"286,000",4555,1.2311,45.2334,41.036,0.0486,0.3025,255.6125,4810.6125,1.2311,47.7717,43.3389,0.0513,
2022-02-15,BNSF,4022,47321.0,Wheat,HRW,Concordia,KS,"Concordia, KS",Greenwood,IL,"Greenwood (Mendota), IL",638.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",3697,0.9992,36.713,33.3063,0.0522,0.1,63.8,3760.8,0.9992,37.3466,33.8811,0.0531,
2022-02-15,BNSF,4022,46307.0,Wheat,HRW,Enid,OK,"Enid, OK",Houston,TX,"Texas Gulf (Houston, TX)",563.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",4197,1.1343,41.6783,37.8108,0.0672,0.1,56.3,4253.3,1.1343,42.2373,38.318,0.0681,
2022-02-15,BNSF,4022,46307.0,Wheat,HRW,Garden City,KS,"Garden City, KS",Houston,TX,"Texas Gulf (Houston, TX)",859.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",4782,1.2924,47.4876,43.0811,0.0502,0.1,85.9,4867.9,1.2924,48.3406,43.855,0.0511,
2022-02-15,BNSF,4022,44306.0,Wheat,HRW,Garden City,KS,"Garden City, KS",Verdemont,CA,"San Bernardino, CA",1376.0,DET,110,120.0,Railroad/Private,0,1,"286,000",5577,1.5073,55.3823,50.2432,0.0365,0.1,137.6,5714.6,1.5073,56.7488,51.4829,0.0374,
2022-02-15,BNSF,4022,46307.0,Wheat,HRW,Salina,KS,"Salina, KS",Houston,TX,"Texas Gulf (Houston, TX)",757.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",4605,1.2446,45.7299,41.4865,0.0548,0.1,75.7,4680.7,1.2446,46.4816,42.1685,0.0557,
